name,area_integrate,error,variable,area_auc
low ghg std,184.3487135,0.013750626,ch4_d_ppm,184.3773605
low ghg std,184.3487135,0.013750626,ch4_d_ppm,178.4837068
low ghg std,184.3487135,0.013750626,ch4_d_ppm,176.1942368
low ghg std,184.3487135,0.013750626,ch4_d_ppm,170.3406276
low ghg std,184.3487135,0.013750626,ch4_d_ppm,170.2330027
low ghg std,184.2505416,0.013723929,ch4_ppm,184.2791752
low ghg std,184.2505416,0.013723929,ch4_ppm,178.3836275
low ghg std,184.2505416,0.013723929,ch4_ppm,176.0883148
low ghg std,184.2505416,0.013723929,ch4_ppm,170.2311511
low ghg std,184.2505416,0.013723929,ch4_ppm,170.1256803
low ghg std,997.346369,0.093704285,co2_d_ppm,990.4903679
low ghg std,997.346369,0.093704285,co2_d_ppm,1411.125018
low ghg std,997.346369,0.093704285,co2_d_ppm,1310.270602
low ghg std,997.346369,0.093704285,co2_d_ppm,1128.408878
low ghg std,997.346369,0.093704285,co2_d_ppm,1025.110832
low ghg std,996.8057119,0.093642453,co2_ppm,989.9538977
low ghg std,996.8057119,0.093642453,co2_ppm,1410.307407
low ghg std,996.8057119,0.093642453,co2_ppm,1309.47065
low ghg std,996.8057119,0.093642453,co2_ppm,1127.659412
low ghg std,996.8057119,0.093642453,co2_ppm,1024.468267
low ghg std,178.4578011,0.016107441,ch4_d_ppm,184.3773605
low ghg std,178.4578011,0.016107441,ch4_d_ppm,178.4837068
low ghg std,178.4578011,0.016107441,ch4_d_ppm,176.1942368
low ghg std,178.4578011,0.016107441,ch4_d_ppm,170.3406276
low ghg std,178.4578011,0.016107441,ch4_d_ppm,170.2330027
low ghg std,178.3576843,0.016085647,ch4_ppm,184.2791752
low ghg std,178.3576843,0.016085647,ch4_ppm,178.3836275
low ghg std,178.3576843,0.016085647,ch4_ppm,176.0883148
low ghg std,178.3576843,0.016085647,ch4_ppm,170.2311511
low ghg std,178.3576843,0.016085647,ch4_ppm,170.1256803
low ghg std,1413.151621,0.158430399,co2_d_ppm,990.4903679
